0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
4116	2562	5040	5166
6706	18858	7140	7182
7042	24612	7952	7658
8708	25690	10500	9912
11060	32550	12950	12950
11452	39410	13930	13440
12866	41174	15498	14812
14728	44492	17402	16912
16898	50722	20006	18816
19362	54236	21840	20146
21798	55146	23856	22498
26446	56644	27300	26152
31220	57330	29918	29890
35420	57330	32634	33096
38976	57330	36988	35868
43162	57330	40614	39746
47698	57330	43932	43288
50330	57330	47838	46312
52822	57330	50428	49938
56938	57330	54068	54124
58786	57330	57246	58464
60130	57526	61432	63238
61810	57946	64862	66696
62440	59808	70364	69566
63154	62244	74186	72492
65016	65310	77476	75432
67116	71400	80486	76482
71442	75278	82432	77154
74970	79814	83174	78862
80598	85078	84056	79492
85162	89236	84868	79632
92176	92008	85148	80416
98798	95410	85288	83034
101640	96978	85862	87318
104678	97986	87150	93534
110068	99050	89558	96250
112042	99568	92372	100674
114072	99610	95298	106442
115990	100002	99610	110460
116550	100380	106302	114296
117026	103404	112322	116368
117026	107730	118482	118034
117222	110852	123270	119532
117222	114786	128688	120708
117754	120442	132678	120792
118622	128254	136136	121380
120540	134498	138936	121660
122612	139384	140154	123158
125762	145180	140742	125552
129094	150164	141358	127596
133098	153146	141638	130956
136948	154798	141680	136206
140798	156982	141680	142394
144690	157864	142268	146608
148890	158578	143276	151942
153790	158900	144984	157290
158326	158900	147000	161084
163170	158900	150024	163926
166348	158900	154812	166866
168952	159138	159978	168966
170394	160020	165060	170380
171948	161308	173586	171276
172970	164416	181412	171514
173390	167678	187684	171794
174216	173306	191912	172130
174580	178290	197848	172606
174622	183890	200410	174496
176428	190414	202482	176344
178864	195734	203210	177870
181776	199990	204386	181202
185570	204792	204694	184436
190218	207592	204890	187936
194208	209734	204890	191310
199010	210462	204890	197050
203924	211330	204890	203042
208922	211708	204890	208516
213962	212086	205282	214410
218372	212128	205996	219282
222166	212422	210014	222670
225806	212898	214536	225960
227598	213276	218792	229180
229754	214494	223762	231378
231616	217140	227990	233282
232876	220892	232708	234682
233940	224952	235480	236026
234808	231504	238882	236838
235340	238448	242004	236880
235858	245140	244468	237468
236908	252994	245350	238378
239176	259840	246456	240002
242732	263368	246820	241780
246218	269374	246820	244132
250292	271964	247114	247058
256284	273476	247646	249144
259294	274988	248850	252980
262780	276626	251104	256326
266434	276962	253106	259784
